id,fecha,ticker,texto,etiqueta_consenso
t3_0141582,01/07/2021,AMC,"shorting $AMC here, fundamentals are trash",bear
t3_0053853,22/04/2021,GME,"GME is wild today, no idea where this goes",bull
t3_0078134,07/07/2021,GME,GME 🚀🚀 puts and calls and whatever idk,neu
t3_0069228,16/06/2021,GME,"$GME chart looks crazy, anyone else seeing this",bull
t3_0015359,25/01/2021,GME,"GME moving a lot, volume is insane rn",bull
t3_0082092,23/07/2021,GME,"sold all my $GME, taking profits before the dump",bear
t3_0135363,09/06/2021,AMC,$AMC going to zero... TO THE MOON 🚀 (im not selling),bull
t3_0077850,06/07/2021,GME,"$GME chart looks crazy, anyone else seeing this",neu
t3_0055282,29/04/2021,GME,"GME volume looks normal today, sideways action",neu
t3_0088754,24/08/2021,GME,diamond hands on GME? more like paper hands incoming,bear
t3_0094387,25/01/2021,AMC,"watching $AMC closely, could go either way 👀",bull
t3_0007587,19/01/2021,GME,"$GME again huh, this sub never sleeps",neu
t3_0102870,26/03/2021,AMC,$AMC to the moon 🚀 said the bagholder before the dump,bear
t3_0076510,01/07/2021,GME,"$GME going back to single digits, bearish af",bear
t3_0001708,12/01/2021,GME,lol GME just game me some tendies bro 😂,neu
t3_0056367,06/05/2021,GME,GME is trash but im holding anyway lmao 💎🙌,bull
t3_0078700,09/07/2021,GME,GME 🚀🚀 puts and calls and whatever idk,neu
t3_0052741,16/04/2021,GME,"$GME chart looks crazy, anyone else seeing this",bull
t3_0118720,04/06/2021,AMC,$AMC to the moon 🚀 said the bagholder before the dump,bear
t3_0061691,26/05/2021,GME,"$GME moon dump moon dump, pick one already",neu
t3_0106537,21/04/2021,AMC,$AMC going to zero... TO THE MOON 🚀 (im not selling),bull
t3_0028381,05/02/2021,GME,"holding a small GME position, watching for now",neu
t3_0086524,12/08/2021,GME,"$GME again huh, this sub never sleeps",neu
t3_0056720,06/05/2021,GME,GME is trash but im holding anyway lmao 💎🙌,bull
t3_0104602,05/04/2021,AMC,"watching $AMC closely, could go either way 👀",bear
t3_0045477,24/03/2021,GME,"everyone says sell GME, so obviously i bought more",bull
t3_0023910,29/01/2021,GME,"$GME chart looks crazy, anyone else seeing this",bull
t3_0000999,07/01/2021,GME,"sold all my $GME, taking profits before the dump",bear
t3_0071032,24/06/2021,GME,"GME is wild today, no idea where this goes",bear
t3_0015560,25/01/2021,GME,"buying more $GME calls, this short squeeze is just starting",bull
t3_0121772,07/06/2021,AMC,"BB big buy on everything, no ticker here",neu
t3_0043731,15/03/2021,GME,"neutral on GME, waiting for a clearer signal",neu
