fecha,ticker,n_bull,n_bear,n_neu,n_total,ISN
04/01/2021,GME,46,76,74,196,-0.1531
05/01/2021,GME,58,67,62,187,-0.0481
06/01/2021,GME,35,191,110,336,-0.4643
07/01/2021,GME,35,318,127,480,-0.5896
08/01/2021,GME,59,48,58,165,0.0667
11/01/2021,GME,55,43,58,156,0.0769
12/01/2021,GME,52,105,97,254,-0.2087
13/01/2021,GME,47,98,71,216,-0.2361
14/01/2021,GME,22,1573,313,1908,-0.8129
15/01/2021,GME,19,1041,254,1314,-0.7778
18/01/2021,GME,25,1770,360,2155,-0.8097
19/01/2021,GME,46,301,123,470,-0.5426
20/01/2021,GME,33,287,129,449,-0.5657
21/01/2021,GME,65,48,66,179,0.095
22/01/2021,GME,6122,13,640,6775,0.9017
25/01/2021,GME,1369,22,287,1678,0.8027
26/01/2021,GME,2495,12,400,2907,0.8541
27/01/2021,GME,1448,13,256,1717,0.8358
28/01/2021,GME,1804,20,312,2136,0.8352
29/01/2021,GME,2905,14,376,3295,0.8774
01/02/2021,GME,39,207,123,369,-0.4553
02/02/2021,GME,71,55,75,201,0.0796
03/02/2021,GME,72,50,63,185,0.1189
04/02/2021,GME,45,46,73,164,-0.0061
05/02/2021,GME,42,339,167,548,-0.542
08/02/2021,GME,39,319,140,498,-0.5622
09/02/2021,GME,33,365,150,548,-0.6058
10/02/2021,GME,49,47,67,163,0.0123
11/02/2021,GME,695,34,177,906,0.7296
12/02/2021,GME,245,38,109,392,0.5281
15/02/2021,GME,44,419,131,594,-0.6313
16/02/2021,GME,27,737,221,985,-0.7208
17/02/2021,GME,49,80,85,214,-0.1449
18/02/2021,GME,50,242,138,430,-0.4465
19/02/2021,GME,493,28,145,666,0.6982
22/02/2021,GME,39,133,80,252,-0.373
23/02/2021,GME,78,52,63,193,0.1347
24/02/2021,GME,481,37,159,677,0.6558
25/02/2021,GME,255,49,136,440,0.4682
26/02/2021,GME,153,39,93,285,0.4
01/03/2021,GME,92,39,105,236,0.2246
02/03/2021,GME,417,26,151,594,0.6582
03/03/2021,GME,152,43,90,285,0.3825
04/03/2021,GME,238,48,124,410,0.4634
05/03/2021,GME,110,54,81,245,0.2286
08/03/2021,GME,1307,23,267,1597,0.804
09/03/2021,GME,2225,26,327,2578,0.853
10/03/2021,GME,1240,31,279,1550,0.78
11/03/2021,GME,49,47,53,149,0.0134
12/03/2021,GME,36,142,98,276,-0.3841
15/03/2021,GME,49,51,54,154,-0.013
16/03/2021,GME,45,104,83,232,-0.2543
17/03/2021,GME,50,93,80,223,-0.1928
18/03/2021,GME,41,188,102,331,-0.4441
19/03/2021,GME,86,34,57,177,0.2938
22/03/2021,GME,108,44,76,228,0.2807
23/03/2021,GME,97,49,62,208,0.2308
24/03/2021,GME,175,45,102,322,0.4037
