fecha,ticker,apertura,alto,bajo,cierre,volumen
04/01/2021,GME,16.72,17.51,16.45,17,76217558
05/01/2021,GME,17.38,17.73,17.31,17.56,62118923
06/01/2021,GME,16.59,16.59,15.79,16.38,114128209
07/01/2021,GME,16.41,16.51,16.16,16.4,128230735
08/01/2021,GME,13.14,13.43,12.89,13.19,64361674
11/01/2021,GME,13.77,14.41,13.58,14.08,58177510
12/01/2021,GME,15.2,15.68,15.12,15.32,92638288
13/01/2021,GME,12.76,13.27,12.37,12.78,59980126
14/01/2021,GME,15.04,15.31,14.93,15.06,216700293
15/01/2021,GME,10.26,10.37,10.17,10.32,186006227
18/01/2021,GME,9.17,9.4,9.08,9.09,232168602
19/01/2021,GME,9.28,9.33,8.9,9.24,112148010
20/01/2021,GME,9.3,9.55,8.9,9.51,107089887
21/01/2021,GME,9.04,9.06,8.83,9,20296722
22/01/2021,GME,9.14,9.54,8.92,9.47,363864459
25/01/2021,GME,12.27,12.6,11.84,12.1,214413583
26/01/2021,GME,15.14,15.21,15.13,15.14,294391853
27/01/2021,GME,16.51,16.74,15.99,16.46,235676073
28/01/2021,GME,18.7,18.73,17.65,17.99,261734688
29/01/2021,GME,24.79,25.21,24.76,25.12,266048631
01/02/2021,GME,28.15,29.24,27.99,28.89,136440350
02/02/2021,GME,32.62,33.48,32.41,32.83,155124001
03/02/2021,GME,30.91,31.3,30.19,31.04,33758228
04/02/2021,GME,30.22,31.01,28.24,29.64,90441289
05/02/2021,GME,32.19,32.52,30.62,32.06,135479417
08/02/2021,GME,30.17,30.4,29.95,30.26,136104361
09/02/2021,GME,30.13,30.97,29.59,30.42,139632440
10/02/2021,GME,22.6,22.81,22.12,22.72,39877148
11/02/2021,GME,22.01,22.76,21.93,21.99,203305019
12/02/2021,GME,25.58,25.81,25.28,25.51,93750568
15/02/2021,GME,24.19,24.39,23.62,24.11,130316316
16/02/2021,GME,22.26,22.56,21.56,22.09,180408802
17/02/2021,GME,17.76,18.03,16.99,17.99,69144618
18/02/2021,GME,15.96,16.11,15.44,15.84,113269455
19/02/2021,GME,16.63,16.74,16.29,16.31,169411550
22/02/2021,GME,21.32,21.39,20.94,21.03,97162661
23/02/2021,GME,20.73,21.42,20.34,21.21,45609059
24/02/2021,GME,25.77,25.82,25.39,25.63,160706659
25/02/2021,GME,25.52,26.84,24.86,26.27,141890203
26/02/2021,GME,33.14,33.98,32.85,33.82,71609809
01/03/2021,GME,32.02,32.05,30.45,31.9,63994022
02/03/2021,GME,34.69,35.09,34.44,34.93,149422444
03/03/2021,GME,36.83,38.01,36.52,37.9,85203455
04/03/2021,GME,41.18,41.79,40.19,41.29,93513493
05/03/2021,GME,52.85,54.89,50.56,54.19,122367956
08/03/2021,GME,57.23,57.41,56.21,57.31,254566255
09/03/2021,GME,69.8,69.97,69.59,69.91,229367729
10/03/2021,GME,82.65,83.43,80.71,81.11,209736502
11/03/2021,GME,69.41,71.86,68.72,70.14,42969700
12/03/2021,GME,76.53,78.77,74.26,75.05,74739840
15/03/2021,GME,87.19,88.03,84.94,85.46,86759535
16/03/2021,GME,91.08,94.45,89.74,91.36,51838434
17/03/2021,GME,87.84,88.55,85.67,87.93,105925293
18/03/2021,GME,92.77,97.78,92.33,95.61,80744516
19/03/2021,GME,76.27,78,74.67,76.93,70248112
22/03/2021,GME,92.42,95.49,88.47,91.42,69140763
23/03/2021,GME,99.73,100.19,97.29,98.84,60323353
24/03/2021,GME,100.03,103.25,96.17,97.34,115872277
25/03/2021,GME,106.44,107.7,102.91,106.81,56464735
26/03/2021,GME,116.35,117.1,112.08,116.17,54405372
29/03/2021,GME,124.12,126.21,122.88,123,40576810
30/03/2021,GME,132.06,138.66,129.42,133.22,70486681
31/03/2021,GME,137.45,141.48,135.11,135.8,55694961
01/04/2021,GME,143.97,149.81,140.72,146.94,91549747
02/04/2021,GME,137.92,142.19,136.9,138.78,40906554
05/04/2021,GME,124.5,126.76,122.6,126.41,169159858
06/04/2021,GME,130.25,134.45,127.14,133.79,146258122
07/04/2021,GME,124.86,125.84,123.34,124.59,163567128
08/04/2021,GME,108.14,108.33,106.31,107.02,198835566
09/04/2021,GME,91.35,91.51,88.63,91.28,225500654
12/04/2021,GME,89.92,90.14,87.28,88.35,161207196
13/04/2021,GME,105.44,108.77,105.04,106.36,90478549
14/04/2021,GME,112.42,113.63,109.07,111.74,86951012
15/04/2021,GME,119.44,123.01,117.34,118.12,65733270
16/04/2021,GME,122.03,123.07,114.91,121.8,127350991
19/04/2021,GME,131.58,135.02,125.08,131.09,43195668
20/04/2021,GME,117.44,118.26,114.63,115.15,101635519
21/04/2021,GME,106.94,108.97,105.1,107.15,151998936
22/04/2021,GME,82.15,84.48,81.23,82.2,85663070
23/04/2021,GME,68.69,69.33,67.34,68.66,27337539
26/04/2021,GME,73.68,73.86,72.12,72.55,69549312
27/04/2021,GME,72.28,73.55,70.91,72.02,122524987
28/04/2021,GME,90.1,91.58,85.03,86.61,122495447
29/04/2021,GME,92,93.73,90.2,92.06,58345080
30/04/2021,GME,91.12,91.41,87.19,88.67,80029273
03/05/2021,GME,82.28,87.11,81.92,84.35,80165299
04/05/2021,GME,78.68,81.36,76.45,79.1,76989691
05/05/2021,GME,73.89,74.56,71.09,72.13,71926535
06/05/2021,GME,54.45,54.95,53.18,53.72,128280751
07/05/2021,GME,54.21,55.76,52.95,55.03,116245111
10/05/2021,GME,53.47,55.31,52.86,54.92,123578509
11/05/2021,GME,48.08,50.19,46.85,47.06,91862523
12/05/2021,GME,47.75,48.69,45.04,46.28,105373391
13/05/2021,GME,54.71,55.11,53.04,53.45,109996618
14/05/2021,GME,70.74,72.51,69.81,71.68,77504835
17/05/2021,GME,79.63,80.34,77.91,78.9,52316008
18/05/2021,GME,73.84,75.45,73.74,74.18,145150228
19/05/2021,GME,63.68,65.54,62.72,63.4,104597147
20/05/2021,GME,51.81,53.18,51.6,52.86,26281965
21/05/2021,GME,59.68,59.78,55.84,57.78,57266187
24/05/2021,GME,57.35,59.16,54.38,56.57,88229690
25/05/2021,GME,50.56,51.87,49.23,51.8,185977883
26/05/2021,GME,50.65,51.7,49.48,51.31,172551328
27/05/2021,GME,59.83,61.84,58.15,60.89,54515991
28/05/2021,GME,68.71,70.06,66.28,66.99,134929168
31/05/2021,GME,58.81,60.51,56.89,58.35,157330172
01/06/2021,GME,58.42,58.7,57.39,57.8,62053587
